크롤링 우선순위 리스트
====================
생성일시: 2025. 7. 21. 오전 12:07:33
총 대상 단지: 19868개

순위	점수	우선순위	거래량	단지명	위치
--------------------------------------------------------------------------------
   1	82.0	1	1168	헬리오시티	송파구 가락동
   2	76.1	2	1030	파크리오	송파구 신천동
   3	75.2	2	1010	몰운대	사하구 다대동
   4	74.8	2	1001	e편한세상송도	연수구 송도동
   5	73.4	2	 968	현대패밀리서부	동구 서부동
   6	72.8	2	 952	그랜드센트럴	동구 계림동
   7	72.7	2	 950	대연롯데캐슬레전드1단지	남구 대연동
   8	72.5	2	 946	구월힐스테이트1단지	남동구 구월동
   9	70.7	2	 903	송도더샵센트럴시티	연수구 송도동
  10	70.1	2	 891	대구월배2차아이파크	달서구 유천동
  11	68.1	2	 844	인천 SK Sky VIEW	미추홀구 용현동
  12	68.0	2	 841	고덕그라시움	강동구 고덕동
  13	68.0	2	 840	월드메르디앙월드시티	북구 매곡동
  14	65.9	2	 792	대림타운	북구 화명동
  15	63.8	2	 743	다대동롯데캐슬몰운대	사하구 다대동
  16	63.7	2	 740	사직쌍용예가	동래구 사직동
  17	62.9	2	 722	에스케이북한산시티	강북구 미아동
  18	61.9	2	 699	화명롯데캐슬카이저	북구 화명동
  19	61.3	2	 685	명지협성휴포레	강서구 명지동
  20	61.1	2	 680	포레시안	남동구 만수동
  21	61.0	2	 678	삼익비치	수영구 남천동
  22	60.8	2	 673	신창3차부영사랑으로	광산구 신창동
  23	60.8	2	 673	부평1,2차금호타운	부평구 청천동
  24	59.4	3	 640	리센츠	송파구 잠실동
  25	59.3	3	 637	롯데캐슬골드	남동구 구월동
  26	58.4	3	 616	동래래미안아이파크	동래구 온천동
  27	58.3	3	 615	정관동일스위트1차	기장군 정관읍 용수리
  28	58.3	3	 614	동원로얄듀크	사하구 장림동
  29	58.0	3	 608	백양디이스트(1단지)	북구 만덕동
  30	58.0	3	 607	힐스테이트 이스턴베이	동구 화정동
  31	57.7	3	 600	루원e-편한세상하늘채아파트	서구 신현동
  32	57.4	3	 594	송강그린	유성구 송강동
  33	57.4	3	 593	고덕아르테온	강동구 상일동
  34	57.2	3	 589	금강엑슬루타워	대덕구 석봉동
  35	57.1	3	 586	동삼그린힐	영도구 동삼동
  36	56.7	3	 578	하늘도시우미린1단지	중구 중산동
  37	56.6	3	 575	올림픽훼밀리타운	송파구 문정동
  38	56.6	3	 574	대구노원한신더휴	북구 노원동3가
  39	56.5	3	 572	래미안장전	금정구 장전동
  40	56.4	3	 571	엑스포	유성구 전민동
  41	56.3	3	 567	래미안힐스테이트고덕	강동구 고덕동
  42	56.3	3	 567	유니버시아드힐스테이트3단지	서구 화정동
  43	55.6	3	 551	협성·DS엘리시안	강서구 지사동
  44	55.6	3	 551	베르디움더퍼스트	연수구 송도동
  45	55.5	3	 550	진천역AK그랑폴리스	달서구 유천동
  46	55.3	3	 545	운남주공7단지	광산구 운남동
  47	55.3	3	 544	서부성원상떼빌	동구 서부동
  48	55.2	3	 543	오륙도에스케이뷰	남구 용호동
  49	55.2	3	 541	청천푸르지오	부평구 청천동
  50	54.8	3	 532	롯데캐슬퍼스트	강동구 암사동
  51	54.7	3	 531	삼산타운주공1단지	부평구 삼산동
  52	54.7	3	 530	용두주공	북구 신용동
  53	54.4	3	 523	만수뉴서울아파트	남동구 만수동
  54	54.4	3	 523	태왕메트로시티	동구 효목동
  55	54.2	3	 519	학마을한진	계양구 병방동
  56	54.1	3	 517	현대아이파크	달서구 유천동
  57	54.1	3	 517	잠실엘스	송파구 잠실동
  58	54.1	3	 516	힐데스하임	서구 청라동
  59	54.0	3	 515	선사현대아파트	강동구 암사동
  60	54.0	3	 515	침산화성파크드림	북구 침산동
  61	54.0	3	 515	센트라스	성동구 하왕십리동
  62	54.0	3	 514	인천영종한양수자인	중구 중산동
  63	53.8	3	 510	경성큰마을	서구 갈마동
  64	53.7	3	 507	현대패밀리동부	동구 동부동
  65	53.5	3	 501	대연힐스테이트푸르지오	남구 대연동
  66	53.4	3	 499	연산엘지	연제구 연산동
  67	53.3	3	 497	원앙마을4	서구 관저동
  68	53.1	3	 494	세양청구마을	남구 삼산동
  69	52.9	3	 488	대구역센트럴자이	중구 수창동
  70	52.8	3	 485	한빛	유성구 어은동
  71	52.8	3	 485	해운대힐스테이트위브	해운대구 중동
  72	52.7	3	 483	주공1단지	부평구 갈산동
  73	52.6	3	 481	정관동일스위트2차	기장군 정관읍 모전리
  74	52.5	3	 480	원앙마을2	서구 관저동
  75	52.5	3	 479	남산타운	중구 신당동
  76	52.3	3	 474	구봉마을주공8-1	서구 관저동
  77	52.3	3	 473	중계그린1단지	노원구 중계동
  78	52.3	3	 473	e편한세상 대전에코포레	동구 용운동
  79	52.2	3	 472	인천가좌두산위브트레지움1,2단지	서구 가좌동
  80	52.2	3	 471	승기마을,연수1차시영	연수구 연수동
  81	52.0	3	 467	래미안위브	동대문구 답십리동
  82	52.0	3	 467	원당풍림아이원	서구 당하동
  83	51.9	3	 465	개금주공2	부산진구 개금동
  84	51.9	3	 465	더샵송도마리나베이	연수구 송도동
  85	51.8	3	 463	송현주공솔빛마을(154)	동구 송현동
  86	51.8	3	 463	부개주공3	부평구 부개동
  87	51.7	3	 461	서면아이파크1단지	부산진구 전포동
  88	51.7	3	 461	더샵파크시티	연제구 연산동
  89	51.6	3	 457	동원로얄듀크	북구 화명동
  90	51.5	3	 456	신정현대홈타운2	남구 야음동
  91	51.4	3	 452	염포성원상떼빌	북구 염포동
  92	51.2	3	 448	논공성원아파트	달성군 논공읍 북리
  93	51.2	3	 448	우성2	연수구 연수동
  94	51.1	3	 447	동림푸른주공3	북구 동림동
  95	51.1	3	 446	부산명지중흥S-클래스프라디움	강서구 명지동
  96	51.1	3	 446	영종신명스카이뷰주얼리	중구 중산동
  97	51.0	3	 445	한양수자인리버뷰	북구 신용동
