지역별 크롤링 분석
==================
지역	단지수	총거래량	평균거래량	비중
------------------------------------------------------------
북구	1020	84441	83	5.1%
서구	1182	74452	63	5.9%
남구	1163	48392	42	5.9%
동구	1077	45889	43	5.4%
중구	979	37325	38	4.9%
달서구	396	25977	66	2.0%
광산구	269	24889	93	1.4%
연수구	195	22649	116	1.0%
남동구	329	22244	68	1.7%
부평구	433	21217	49	2.2%
강서구	633	20123	32	3.2%
해운대구	369	19776	54	1.9%
부산진구	469	18768	40	2.4%
유성구	207	18484	89	1.0%
수성구	358	17387	49	1.8%
사하구	409	17168	42	2.1%
달성군	138	17042	123	0.7%
노원구	299	16740	56	1.5%
계양구	218	15486	71	1.1%
미추홀구	484	14850	31	2.4%
송파구	401	14405	36	2.0%
동래구	408	13402	33	2.1%
울주군	213	13268	62	1.1%
강동구	477	12419	26	2.4%
성북구	181	11128	61	0.9%
영등포구	264	11097	42	1.3%
기장군	182	10905	60	0.9%
연제구	335	10697	32	1.7%
서초구	623	10652	17	3.1%
사상구	178	10444	59	0.9%
성동구	160	10154	63	0.8%
구로구	546	9774	18	2.7%
마포구	317	9740	31	1.6%
양천구	449	9596	21	2.3%
동작구	236	9204	39	1.2%
금정구	431	9110	21	2.2%
동대문구	288	9025	31	1.4%
강남구	530	8411	16	2.7%
은평구	501	8366	17	2.5%
서대문구	277	8025	29	1.4%
대덕구	142	7840	55	0.7%
수영구	338	7489	22	1.7%
도봉구	204	7098	35	1.0%
중랑구	256	6483	25	1.3%
관악구	271	6328	23	1.4%
영도구	174	5260	30	0.9%
광진구	215	4628	22	1.1%
용산구	212	4178	20	1.1%
강북구	133	4142	31	0.7%
금천구	157	3737	24	0.8%
종로구	122	2032	17	0.6%
강화군	20	629	31	0.1%
