아파트명,시,구,동,도로명주소,건축년도,세대수,거래유형,매매최저가(만원),매매최고가(만원),매매건수,전세최저가(만원),전세최고가(만원),전세건수,월세최저가(만원),월세최고가(만원),월세건수,최소면적(㎡),최대면적(㎡),거리(m),위도,경도
삼성우림루미아트,서울,강남구,삼성동,서울 강남구 삼성동,2005,40,"매매,전세",195000.0,300000.0,6.0,140000.0,140000.0,4.0,,,,117.5,147.72,162.0732954132,37.513927,127.054333
미켈란147(주상복합),서울,강남구,삼성동,서울 강남구 삼성동,2004,67,"매매,전세,월세",180000.0,200000.0,2.0,95000.0,95000.0,2.0,430.0,500.0,23.0,101.97,102.85,186.8615345423,37.513228,127.055948
삼성포스코더샵(주상복합),서울,강남구,삼성동,서울 강남구 삼성동,2003,72,"매매,전세,월세",310000.0,590000.0,24.0,184000.0,195000.0,6.0,690.0,1300.0,4.0,176.54,228.05,212.6822373884,37.513084,127.054932
삼성팰리스(71-16),서울,강남구,삼성동,서울 강남구 삼성동,2006,19,월세,,,,,,,465.0,470.0,5.0,136.56,136.56,215.7554824712,37.514396,127.053343
삼성힐스테이트2단지,서울,강남구,삼성동,서울 강남구 삼성동,2008,926,"매매,전세,월세",160000.0,400000.0,22.0,70000.0,140000.0,75.0,160.0,690.0,177.0,51.81,109.54,374.4230342651,37.514112,127.051582
쌍용플래티넘(주상복합),서울,강남구,삼성동,서울 강남구 삼성동,2003,88,"매매,전세,월세",300000.0,300000.0,1.0,184500.0,200000.0,10.0,300.0,600.0,18.0,183.04,183.04,433.3326226036,37.512403,127.051932
삼성그랑빌,서울,강남구,삼성동,서울 강남구 삼성동,2005,14,매매,220000.0,220000.0,2.0,,,,,,,113.75,113.75,452.5462844017,37.510858999999996,127.055017
현대빌라트,서울,강남구,삼성동,서울 강남구 삼성동,2004,14,매매,250000.0,250000.0,1.0,,,,,,,144.09,144.09,488.2408008421,37.511985,127.051564
삼성신도브래뉴(주상복합),서울,강남구,삼성동,서울 강남구 삼성동,2010,21,"매매,월세",140000.0,200000.0,13.0,,,,340.0,420.0,11.0,131.42,155.01,541.7129324607,37.510378,127.053394
프레스티지(도시형),서울,강남구,삼성동,서울 강남구 삼성동,2017,16,"매매,월세",73000.0,73000.0,3.0,,,,230.0,250.0,4.0,39.51,39.51,570.1450961955,37.512389,127.050074
영무예다음,서울,강남구,삼성동,서울 강남구 삼성동,2006,45,"매매,전세,월세",200000.0,200000.0,8.0,95000.0,95000.0,4.0,80.0,80.0,2.0,135.18,135.18,578.2494775893,37.51043,127.05234
삼성오네뜨,서울,강남구,삼성동,서울 강남구 삼성동,2004,48,"매매,전세",260000.0,300000.0,6.0,149000.0,150000.0,6.0,,,,168.72,168.72,606.4002438256,37.509522,127.05449
삼성힐스테이트1단지,서울,강남구,청담동,서울 강남구 청담동,2008,1144,"매매,전세,월세",120000.0,455000.0,83.0,44500.0,200000.0,155.0,40.0,650.0,127.0,41.4,143.04,639.7639496955,37.516721,127.048834
삼성파크,서울,강남구,삼성동,서울 강남구 삼성동,2001,114,"매매,전세,월세",220000.0,235000.0,7.0,110000.0,117000.0,6.0,300.0,430.0,4.0,139.75,139.75,654.0806543158,37.509201,127.053816
삼성펠리스(129-5),서울,강남구,삼성동,서울 강남구 삼성동,2005,18,매매,280000.0,285000.0,5.0,,,,,,,187.6,187.6,697.8998749359,37.508691999999996,127.054444
삼성롯데,서울,강남구,청담동,서울 강남구 청담동,2000,339,"매매,전세,월세",190000.0,300000.0,9.0,74500.0,117000.0,17.0,1.0,60.0,5.0,79.36,122.6,701.5750645402,37.518,127.048784
삼성대성유니드,서울,강남구,삼성동,서울 강남구 삼성동,2004,59,"매매,월세",169000.0,180000.0,7.0,,,,350.0,350.0,1.0,103.57,103.57,709.3942189718,37.50865,127.05402
삼성이안파크,서울,강남구,삼성동,서울 강남구 삼성동,2004,19,매매,220000.0,230000.0,6.0,,,,,,,102.03,122.32,727.8731852974,37.508594,127.053439
삼성웰피아,서울,강남구,삼성동,서울 강남구 삼성동,2005,19,"전세,월세",,,,93000.0,93000.0,1.0,450.0,450.0,1.0,104.91,104.91,736.1948553043,37.50847,127.053655
청담그랑빌(주상복합),서울,강남구,청담동,서울 강남구 청담동,2004,19,"전세,월세",,,,70000.0,70000.0,1.0,160.0,160.0,1.0,88.87,88.87,748.8973972644,37.519083,127.049053
채널리저브(주상복합),서울,강남구,삼성동,서울 강남구 삼성동,2007,78,"매매,전세,월세",169500.0,195000.0,11.0,90000.0,90000.0,6.0,340.0,700.0,9.0,103.86,103.9,766.1662546583,37.507998,127.055539
풍림,서울,강남구,삼성동,서울 강남구 삼성동,1997,36,월세,,,,,,,160.0,175.0,5.0,76.32,76.32,767.9074340612,37.508061,127.054384
이안애2차,서울,강남구,삼성동,서울 강남구 삼성동,2004,19,"매매,월세",85000.0,169000.0,5.0,,,,190.0,190.0,1.0,72.06,133.37,771.433098323,37.508119,127.053784
골든카운티,서울,강남구,청담동,서울 강남구 청담동,2019,19,"전세,월세",,,,99000.0,130000.0,12.0,80.0,600.0,3.0,99.21,190.65,850.3339405119,37.516989,127.046446
삼성중앙하이츠빌리지,서울,강남구,청담동,서울 강남구 청담동,2004,298,"매매,전세,월세",265000.0,445000.0,25.0,120000.0,200000.0,10.0,450.0,600.0,6.0,83.93,192.66,854.9546107859,37.516113,127.04615
청담아르지움(도시형),서울,강남구,청담동,서울 강남구 청담동,2015,29,"매매,월세",43000.0,125000.0,4.0,,,,184.0,210.0,2.0,28.69,67.93,856.971800017,37.519788,127.048196
청담삼성1차,서울,강남구,청담동,서울 강남구 청담동,1997,158,"매매,전세,월세",240000.0,260000.0,11.0,89000.0,100000.0,20.0,80.0,80.0,2.0,108.15,108.15,869.8115452908,37.519514,127.047747
삼성우정에쉐르II(주상복합),서울,강남구,삼성동,서울 강남구 삼성동,2004,60,"매매,전세",95000.0,100000.0,3.0,70000.0,70000.0,1.0,,,,71.57,71.7,874.5686807321,37.507055,127.05477
청담스위트(도시형),서울,강남구,청담동,서울 강남구 청담동,2015,124,"매매,전세,월세",19500.0,23500.0,4.0,19500.0,20000.0,2.0,8.0,90.0,3.0,20.74,20.74,879.007055476,37.519286,127.047421
푸른솔,서울,강남구,청담동,서울 강남구 청담동,1996,61,"매매,전세,월세",146500.0,146500.0,2.0,95000.0,100000.0,2.0,220.0,280.0,3.0,82.24,82.24,908.9722896984,37.517843,127.046105
