아파트명,시,구,동,도로명주소,건축년도,세대수,거래유형,매매최저가(만원),매매최고가(만원),매매건수,전세최저가(만원),전세최고가(만원),전세건수,월세최저가(만원),월세최고가(만원),월세건수,최소면적(㎡),최대면적(㎡),거리(m),위도,경도
로얄빌리지,서울,강남구,역삼동,서울 강남구 역삼동,2002,19,매매,65000.0,129000.0,3.0,,,,,,,81.7,151.85,163.6878013333,37.501494,127.03454
이지마루역삼(주상복합),서울,강남구,역삼동,서울 강남구 역삼동,2018,28,"매매,월세",43000.0,51000.0,19.0,,,,10.0,10.0,1.0,31.96,34.71,318.6534055393,37.502269,127.039118
강남역이스턴(도시형),서울,강남구,역삼동,서울 강남구 역삼동,2014,98,"매매,전세,월세",18000.0,20000.0,4.0,16000.0,16000.0,1.0,70.0,85.0,5.0,23.0,23.0,330.6142721991,37.498557,127.033503
베르사이유,서울,강남구,역삼동,서울 강남구 역삼동,2003,16,매매,185000.0,187000.0,7.0,,,,,,,127.76,127.76,340.9318894639,37.499391,127.039588
포스틸빌라트,서울,강남구,역삼동,서울 강남구 역삼동,2004,12,월세,,,,,,,160.0,209.0,2.0,65.6,65.6,385.1834521328,37.497335,127.035034
더클래스(도시형),서울,강남구,역삼동,서울 강남구 역삼동,2022,14,전세,,,,45000.0,45000.0,1.0,,,,37.33,37.33,390.4092246053,37.497197,127.036502
대명벨리온(도시형),서울,강남구,역삼동,서울 강남구 역삼동,2012,71,"매매,전세,월세",20000.0,26000.0,3.0,21000.0,27000.0,2.0,45.0,45.0,1.0,27.18,46.69,407.0196652775,37.497964,127.039165
한양럭스,서울,강남구,역삼동,서울 강남구 역삼동,2003,18,"매매,월세",45000.0,55000.0,2.0,,,,130.0,295.0,5.0,62.31,66.98,418.3133895361,37.50427,127.034583
강남역우정에쉐르(주상복합),서울,강남구,역삼동,서울 강남구 역삼동,2004,52,"매매,전세,월세",21000.0,21000.0,1.0,17600.0,18600.0,2.0,90.0,90.0,1.0,23.63,23.63,421.8205671276,37.498457,127.032249
프리우스역삼2차,서울,강남구,역삼동,서울 강남구 역삼동,2006,18,매매,125000.0,150000.0,6.0,,,,,,,96.51,96.51,431.8511345937,37.501365,127.031288
동원스위트뷰역삼,서울,강남구,역삼동,서울 강남구 역삼동,2017,28,"매매,월세",120000.0,150000.0,3.0,,,,350.0,400.0,6.0,84.46,93.16,434.1177340681,37.496877,127.037138
요진와이시티미니(도시형),서울,강남구,역삼동,서울 강남구 역삼동,2012,91,"매매,전세,월세",18000.0,18000.0,4.0,18000.0,18000.0,1.0,21.0,35.0,3.0,24.6,24.6,447.4405438488,37.497559,127.039272
뜨라네(828-76),서울,강남구,역삼동,서울 강남구 역삼동,2005,18,"매매,전세",115000.0,115000.0,1.0,54000.0,54000.0,3.0,,,,97.25,97.25,449.8728919333,37.497454,127.033053
"강남IBC(민간임대,도시형)",서울,강남구,역삼동,서울 강남구 역삼동,1987,137,월세,,,,,,,97.0,150.0,2.0,38.8,43.21,451.4757996311,37.499817,127.031116
역삼EG소울리더(도시형),서울,강남구,역삼동,서울 강남구 역삼동,2012,99,"매매,월세",18000.0,37000.0,19.0,,,,10.0,110.0,4.0,21.13,42.95,452.068289505,37.497152,127.033589
역삼골든베리힐,서울,강남구,역삼동,서울 강남구 역삼동,2004,14,전세,,,,110000.0,110000.0,1.0,,,,124.2,124.2,452.184985443,37.504756,127.035617
뜨라네(828-21),서울,강남구,역삼동,서울 강남구 역삼동,2005,15,매매,80000.0,80000.0,2.0,,,,,,,69.14,69.14,452.6076045524,37.497543,127.03286
프리우스역삼1차,서울,강남구,역삼동,서울 강남구 역삼동,2006,9,"매매,전세",145000.0,145000.0,1.0,70000.0,70000.0,1.0,,,,104.21,104.21,456.9812957361,37.501366,127.031
역삼칼라,서울,강남구,역삼동,서울 강남구 역삼동,2002,19,"매매,월세",67000.0,67000.0,3.0,,,,100.0,100.0,8.0,78.63,78.63,459.7677343688,37.504611,127.034386
역삼우성,서울,강남구,역삼동,서울 강남구 역삼동,2005,12,"매매,전세",180000.0,180000.0,1.0,73000.0,90000.0,3.0,,,,123.63,123.63,460.1888856172,37.502061,127.031184
