apartment_name,region_name,legal_dong,jibun,road_name,deal_type,deal_year,deal_month,deal_day,deal_amount,area,floor,longitude,latitude,coordinate_source,coordinates_wkt
용종마을중앙,계양구,,,,매매,,,,,,,126.7402096,37.54208276,apt_master_info,POINT(126.7402096 37.54208276)
거제동월드메르디앙,연제구,,,,매매,,,,,,,129.0820393,35.19388303,apt_master_info,POINT(129.0820393 35.19388303)
송도아메리칸타운아이파크,연수구,,,,매매,,,,,,,126.6622669,37.3850245,apt_master_info,POINT(126.6622669 37.3850245)
무등산아이파크,동구,,,,매매,,,,,,,126.930072,37.57591318,apt_master_info,POINT(126.930072 37.57591318)
경남4차,서구,,,,매매,,,,,,,127.369466,36.32341385,apt_master_info,POINT(127.369466 36.32341385)
현대한누리,수영구,,,,매매,,,,,,,129.0981725,35.16995155,apt_master_info,POINT(129.0981725 35.16995155)
대전노은4지구한화꿈에그린1블록,유성구,,,,매매,,,,,,,127.0106815,37.57932188,apt_master_info,POINT(127.0106815 37.57932188)
월성삼정그린코아에듀파크,달서구,,,,전세,,,,,,,127.0106815,37.57932188,apt_master_info,POINT(127.0106815 37.57932188)
미리샘마을,달서구,,,,전세,,,,,,,128.5411041,35.80576909,apt_master_info,POINT(128.5411041 35.80576909)
오성우방,수성구,,,,매매,,,,,,,128.6092229,35.85872465,apt_master_info,POINT(128.6092229 35.85872465)
대현뜨란채,북구,,,,매매,,,,,,,128.6062126,35.87990328,apt_master_info,POINT(128.6062126 35.87990328)
우성,미추홀구,,,,매매,,,,,,,126.6412066,37.45005651,apt_master_info,POINT(126.6412066 37.45005651)
중리롯데캐슬,서구,,,,매매,,,,,,,128.5480264,35.86740804,apt_master_info,POINT(128.5480264 35.86740804)
반도유보라,달성군,,,,매매,,,,,,,128.4683148,35.69045488,apt_master_info,POINT(128.4683148 35.69045488)
월성주공4단지,달서구,,,,전세,,,,,,,128.5325291,35.8336653,apt_master_info,POINT(128.5325291 35.8336653)
금호타운,광산구,,,,매매,,,,,,,126.8103722,35.16475998,apt_master_info,POINT(126.8103722 35.16475998)
용산세광그린빌,달서구,,,,매매,,,,,,,128.5296546,35.85695697,apt_master_info,POINT(128.5296546 35.85695697)
영진로얄,대덕구,,,,매매,,,,,,,127.4267039,36.37487632,apt_master_info,POINT(127.4267039 36.37487632)
백영,부평구,,,,매매,,,,,,,126.6956278,37.47842034,apt_master_info,POINT(126.6956278 37.47842034)
연산엘지,연제구,,,,월세,,,,,,,129.103648,35.18397146,apt_master_info,POINT(129.103648 35.18397146)
하이랜드,유성구,,,,매매,,,,,,,127.3476626,36.35897939,apt_master_info,POINT(127.3476626 36.35897939)
이진젠시티개금,부산진구,,,,매매,,,,,,,126.9066653,37.55615468,apt_master_info,POINT(126.9066653 37.55615468)
삼산리버뷰웰가,남구,,,,매매,,,,,,,129.345158,35.54661173,apt_master_info,POINT(129.345158 35.54661173)
엘지메트로시티1,남구,,,,매매,,,,,,,129.1128054,35.12829218,apt_master_info,POINT(129.1128054 35.12829218)
남천파크,수영구,,,,매매,,,,,,,129.1076752,35.14041996,apt_master_info,POINT(129.1076752 35.14041996)
신동아파밀리에,유성구,,,,매매,,,,,,,127.3875383,36.42066494,apt_master_info,POINT(127.3875383 36.42066494)
해태(590-3),서구,,,,매매,,,,,,,126.8733851,35.15723042,apt_master_info,POINT(126.8733851 35.15723042)
유창맨션,해운대구,,,,매매,,,,,,,129.1268261,35.17938372,apt_master_info,POINT(129.1268261 35.17938372)
월드메르디앙월드시티,북구,,,,매매,,,,,,,129.3618427,35.64200182,apt_master_info,POINT(129.3618427 35.64200182)
비즈트위트그린,구로구,,,,매매,,,,,,,126.8904307,37.49535789,apt_master_info,POINT(126.8904307 37.49535789)
주공6,노원구,,,,매매,,,,,,,127.0784214,37.64860207,apt_master_info,POINT(127.0784214 37.64860207)
봉선2차남양휴튼,남구,,,,매매,,,,,,,126.9084356,35.12480226,apt_master_info,POINT(126.9084356 35.12480226)
무거현대,남구,,,,매매,,,,,,,129.2546335,35.54838673,apt_master_info,POINT(129.2546335 35.54838673)
스마트시티2단지,유성구,,,,매매,,,,,,,127.3920144,36.37800942,apt_master_info,POINT(127.3920144 36.37800942)
신천효성해링턴플레이스,북구,,,,매매,,,,,,,129.3509763,35.64058124,apt_master_info,POINT(129.3509763 35.64058124)
포레시안,남동구,,,,매매,,,,,,,127.4515075,36.63406697,apt_master_info,POINT(127.4515075 36.63406697)
청구타운,수성구,,,,매매,,,,,,,128.643253,35.81993205,apt_master_info,POINT(128.643253 35.81993205)
동래3차SKVIEW,동래구,,,,매매,,,,,,,127.1181845,37.50062079,apt_master_info,POINT(127.1181845 37.50062079)
진달래,서구,,,,매매,,,,,,,127.3668166,36.35908072,apt_master_info,POINT(127.3668166 36.35908072)
우방청자,달서구,,,,월세,,,,,,,128.539264,35.81199978,apt_master_info,POINT(128.539264 35.81199978)
